ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-01-02,10747.892648979492,10273.988497586846,11760.27379587305,10747.892648979492,10747.892648979492,305.5024888101769,305.5024888101769,305.5024888101769,131.19089596951494,131.19089596951494,131.19089596951494,174.31159284066197,174.31159284066197,174.31159284066197,0.0,0.0,0.0,11053.395137789668
2018-01-03,10747.336484294616,10284.552731268026,11769.918297999107,10747.336484294616,10747.336484294616,304.828381713168,304.828381713168,304.828381713168,130.40851066566754,130.40851066566754,130.40851066566754,174.41987104750046,174.41987104750046,174.41987104750046,0.0,0.0,0.0,11052.164866007784
2018-01-04,10746.780319609737,10340.52879328621,11754.988715114294,10746.780319609737,10746.780319609737,306.2970485479136,306.2970485479136,306.2970485479136,132.16746761289696,132.16746761289696,132.16746761289696,174.12958093501666,174.12958093501666,174.12958093501666,0.0,0.0,0.0,11053.07736815765
2018-01-05,10746.22415492486,10301.137647051753,11766.98793267161,10746.22415492486,10746.22415492486,292.7758101151227,292.7758101151227,292.7758101151227,119.50192119413148,119.50192119413148,119.50192119413148,173.2738889209912,173.2738889209912,173.2738889209912,0.0,0.0,0.0,11038.999965039982
2018-01-08,10744.555660870225,10337.16535703965,11751.506104496331,10744.555660870225,10744.555660870225,294.07818910044125,294.07818910044125,294.07818910044125,128.1921199565518,128.1921199565518,128.1921199565518,165.88606914388942,165.88606914388942,165.88606914388942,0.0,0.0,0.0,11038.633849970665
2018-01-09,10743.999496185346,10315.773766698801,11770.691700143383,10743.999496185346,10743.999496185346,292.63928749198624,292.63928749198624,292.63928749198624,131.19089596925028,131.19089596925028,131.19089596925028,161.44839152273596,161.44839152273596,161.44839152273596,0.0,0.0,0.0,11036.638783677332
2018-01-10,10743.44333150047,10352.753670164628,11753.502527012573,10743.44333150047,10743.44333150047,286.3125538587924,286.3125538587924,286.3125538587924,130.4085106658483,130.4085106658483,130.4085106658483,155.90404319294407,155.90404319294407,155.90404319294407,0.0,0.0,0.0,11029.755885359262
2018-01-11,10742.887166815592,10302.95497875277,11723.473665668578,10742.887166815592,10742.887166815592,281.39244124600896,281.39244124600896,281.39244124600896,132.16746761287496,132.16746761287496,132.16746761287496,149.22497363313397,149.22497363313397,149.22497363313397,0.0,0.0,0.0,11024.2796080616
2018-01-12,10742.331002130713,10296.615341477742,11761.864437794247,10742.331002130713,10742.331002130713,260.9154323012985,260.9154323012985,260.9154323012985,119.50192119380208,119.50192119380208,119.50192119380208,141.41351110749642,141.41351110749642,141.41351110749642,0.0,0.0,0.0,11003.246434432012
2018-01-15,10740.662508076079,10270.788632704891,11741.777055336197,10740.662508076079,10740.662508076079,239.84682208431406,239.84682208431406,239.84682208431406,128.19211995622595,128.19211995622595,128.19211995622595,111.65470212808809,111.65470212808809,111.65470212808809,0.0,0.0,0.0,10980.509330160392
2018-01-16,10740.106343391202,10252.539294913886,11674.778833725859,10740.106343391202,10740.106343391202,231.1124495342391,231.1124495342391,231.1124495342391,131.19089596864745,131.19089596864745,131.19089596864745,99.92155356559164,99.92155356559164,99.92155356559164,0.0,0.0,0.0,10971.218792925441
2018-01-17,10739.550178706324,10239.870060653731,11693.324616414982,10739.550178706324,10739.550178706324,217.89727146034124,217.89727146034124,217.89727146034124,130.40851066602914,130.40851066602914,130.40851066602914,87.4887607943121,87.4887607943121,87.4887607943121,0.0,0.0,0.0,10957.447450166665
2018-01-18,10738.994014021446,10202.595565052503,11639.893213930352,10738.994014021446,10738.994014021446,206.6765452485069,206.6765452485069,206.6765452485069,132.16746761303023,132.16746761303023,132.16746761303023,74.50907763547669,74.50907763547669,74.50907763547669,0.0,0.0,0.0,10945.670559269953
2018-01-19,10738.437849336568,10170.956612132302,11689.912796649101,10738.437849336568,10738.437849336568,180.6501619650772,180.6501619650772,180.6501619650772,119.50192119437651,119.50192119437651,119.50192119437651,61.1482407707007,61.1482407707007,61.1482407707007,0.0,0.0,0.0,10919.088011301645
2018-01-22,10736.769355281933,10254.291052680812,11638.97526848469,10736.769355281933,10736.769355281933,148.71991780296673,148.71991780296673,148.71991780296673,128.1921199565446,128.1921199565446,128.1921199565446,20.52779784642214,20.52779784642214,20.52779784642214,0.0,0.0,0.0,10885.489273084899
2018-01-23,10736.213190597056,10116.189540396894,11586.215907125463,10736.213190597056,10736.213190597056,138.57690190074663,138.57690190074663,138.57690190074663,131.19089596935635,131.19089596935635,131.19089596935635,7.386005931390286,7.386005931390286,7.386005931390286,0.0,0.0,0.0,10874.790092497802
2018-01-24,10735.657025912178,10170.238678418706,11564.583502182777,10735.657025912178,10735.657025912178,125.1202423270161,125.1202423270161,125.1202423270161,130.4085106655115,130.4085106655115,130.4085106655115,-5.288268338495396,-5.288268338495396,-5.288268338495396,0.0,0.0,0.0,10860.777268239195
2018-01-25,10735.100861227302,10128.928935051792,11569.30642345679,10735.100861227302,10735.100861227302,114.81102588095894,114.81102588095894,114.81102588095894,132.1674676130082,132.1674676130082,132.1674676130082,-17.35644173204928,-17.35644173204928,-17.35644173204928,0.0,0.0,0.0,10849.911887108261
2018-01-29,10732.876202487789,10060.328120908674,11524.090198659365,10732.876202487789,10732.876202487789,70.58975575799538,70.58975575799538,70.58975575799538,128.19211995574537,128.19211995574537,128.19211995574537,-57.602364197750006,-57.602364197750006,-57.602364197750006,0.0,0.0,0.0,10803.465958245784
2018-01-30,10732.320037802912,10087.091765135036,11510.906573725097,10732.320037802912,10732.320037802912,65.78290514609746,65.78290514609746,65.78290514609746,131.1908959690917,131.1908959690917,131.1908959690917,-65.40799082299425,-65.40799082299425,-65.40799082299425,0.0,0.0,0.0,10798.10294294901
2018-01-31,10731.763873118034,10034.833327242508,11494.212877821248,10731.763873118034,10731.763873118034,58.0899916178446,58.0899916178446,58.0899916178446,130.40851066622977,130.40851066622977,130.40851066622977,-72.31851904838517,-72.31851904838517,-72.31851904838517,0.0,0.0,0.0,10789.853864735878
2018-02-01,10731.207708433156,10047.072919001248,11485.3668985598,10731.207708433156,10731.207708433156,53.774897428230524,53.774897428230524,53.774897428230524,132.1674676129862,132.1674676129862,132.1674676129862,-78.39257018475564,-78.39257018475564,-78.39257018475564,0.0,0.0,0.0,10784.982605861387
2018-02-02,10730.651543748278,10013.379518070118,11493.61883526723,10730.651543748278,10730.651543748278,35.782876083241995,35.782876083241995,35.782876083241995,119.50192119462152,119.50192119462152,119.50192119462152,-83.71904511137953,-83.71904511137953,-83.71904511137953,0.0,0.0,0.0,10766.43441983152
2018-02-05,10728.983049693643,10005.70249588245,11473.316092655188,10728.983049693643,10728.983049693643,31.682285112003488,31.682285112003488,31.682285112003488,128.19211995606398,128.19211995606398,128.19211995606398,-96.5098348440605,-96.5098348440605,-96.5098348440605,0.0,0.0,0.0,10760.665334805646
2018-02-06,10728.426885008766,10068.537388817349,11500.144477667256,10728.426885008766,10728.426885008766,30.934300628905497,30.934300628905497,30.934300628905497,131.19089596948285,131.19089596948285,131.19089596948285,-100.25659534057738,-100.25659534057738,-100.25659534057738,0.0,0.0,0.0,10759.361185637672
2018-02-07,10727.870720323888,10010.526472833306,11521.508233461958,10727.870720323888,10727.870720323888,26.347590461142673,26.347590461142673,26.347590461142673,130.40851066587308,130.40851066587308,130.40851066587308,-104.06092020473042,-104.06092020473042,-104.06092020473042,0.0,0.0,0.0,10754.21831078503
2018-02-08,10727.31455563901,10027.956865836908,11500.909694458167,10727.31455563901,10727.31455563901,24.038968651520612,24.038968651520612,24.038968651520612,132.16746761296417,132.16746761296417,132.16746761296417,-108.12849896144357,-108.12849896144357,-108.12849896144357,0.0,0.0,0.0,10751.353524290531
2018-02-09,10726.758390954132,10012.228663525391,11420.280032071989,10726.758390954132,10726.758390954132,6.8332111076108015,6.8332111076108015,6.8332111076108015,119.50192119514433,119.50192119514433,119.50192119514433,-112.66871008753353,-112.66871008753353,-112.66871008753353,0.0,0.0,0.0,10733.591602061742
2018-02-12,10725.089896899499,10024.195849769703,11476.778331221722,10725.089896899499,10725.089896899499,-2.972531441310843,-2.972531441310843,-2.972531441310843,128.1921199565536,128.1921199565536,128.1921199565536,-131.16465139786445,-131.16465139786445,-131.16465139786445,0.0,0.0,0.0,10722.117365458187
2018-02-14,10723.977567529742,10023.268208120793,11422.019643095986,10723.977567529742,10723.977567529742,-18.984415191054403,-18.984415191054403,-18.984415191054403,130.4085106653555,130.4085106653555,130.4085106653555,-149.3929258564099,-149.3929258564099,-149.3929258564099,0.0,0.0,0.0,10704.993152338688
